threshold,total_cost,false_positives,false_negatives,true_positives,true_negatives
0.01,69100,141,11,87,56723
0.02,68600,86,12,86,56778
0.03,66900,69,12,86,56795
0.04,66000,60,12,86,56804
0.05,65000,50,12,86,56814
0.06,64400,44,12,86,56820
0.07,63700,37,12,86,56827
0.08,68300,33,13,85,56831
0.09,73100,31,14,84,56833
0.1,72800,28,14,84,56836
0.11,72500,25,14,84,56839
0.12,72200,22,14,84,56842
0.13,72000,20,14,84,56844
0.14,71800,18,14,84,56846
0.15,71800,18,14,84,56846
0.16,71800,18,14,84,56846
0.17,71800,18,14,84,56846
0.18,71800,18,14,84,56846
0.19,71700,17,14,84,56847
0.2,71600,16,14,84,56848
0.21,76600,16,15,83,56848
0.22,76500,15,15,83,56849
0.23,76500,15,15,83,56849
0.24,76500,15,15,83,56849
0.25,76500,15,15,83,56849
0.26,76500,15,15,83,56849
0.27,76400,14,15,83,56850
0.28,76400,14,15,83,56850
0.29,76300,13,15,83,56851
0.3,76300,13,15,83,56851
0.31,76300,13,15,83,56851
0.32,76300,13,15,83,56851
0.33,76300,13,15,83,56851
0.34,76200,12,15,83,56852
0.35,76200,12,15,83,56852
0.36,76200,12,15,83,56852
0.37,76200,12,15,83,56852
0.38,76200,12,15,83,56852
0.39,76200,12,15,83,56852
0.4,76200,12,15,83,56852
0.41,76200,12,15,83,56852
0.42,76200,12,15,83,56852
0.43,76200,12,15,83,56852
0.44,76200,12,15,83,56852
0.45,76100,11,15,83,56853
0.46,76100,11,15,83,56853
0.47,76100,11,15,83,56853
0.48,81100,11,16,82,56853
0.49,81100,11,16,82,56853
0.5,81100,11,16,82,56853
0.51,81100,11,16,82,56853
0.52,81100,11,16,82,56853
0.53,81100,11,16,82,56853
0.54,81100,11,16,82,56853
0.55,81100,11,16,82,56853
0.56,81100,11,16,82,56853
0.57,81100,11,16,82,56853
0.58,81100,11,16,82,56853
0.59,81100,11,16,82,56853
0.6,81100,11,16,82,56853
0.61,81100,11,16,82,56853
0.62,81100,11,16,82,56853
0.63,81100,11,16,82,56853
0.64,81100,11,16,82,56853
0.65,81000,10,16,82,56854
0.66,81000,10,16,82,56854
0.67,80900,9,16,82,56855
0.68,80900,9,16,82,56855
0.69,80900,9,16,82,56855
0.7,80900,9,16,82,56855
0.71,80900,9,16,82,56855
0.72,80900,9,16,82,56855
0.73,80800,8,16,82,56856
0.74,80800,8,16,82,56856
0.75,80800,8,16,82,56856
0.76,85800,8,17,81,56856
0.77,85800,8,17,81,56856
0.78,85800,8,17,81,56856
0.79,85800,8,17,81,56856
0.8,85800,8,17,81,56856
0.81,85800,8,17,81,56856
0.82,85800,8,17,81,56856
0.83,85800,8,17,81,56856
0.84,85800,8,17,81,56856
0.85,85700,7,17,81,56857
0.86,85700,7,17,81,56857
0.87,85700,7,17,81,56857
0.88,85700,7,17,81,56857
0.89,85500,5,17,81,56859
0.9,85500,5,17,81,56859
0.91,85500,5,17,81,56859
0.92,85500,5,17,81,56859
0.93,90500,5,18,80,56859
0.94,95500,5,19,79,56859
0.95,100500,5,20,78,56859
0.96,100400,4,20,78,56860
0.97,100300,3,20,78,56861
0.98,100300,3,20,78,56861
0.99,110300,3,22,76,56861
