Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
70641.827,-0.41714153,1.39928552,0.41776788,0.87978448,-0.40114366,-0.04221416,-0.12051813,-0.63331102,-1.67472277,0.63565086,-0.47042862,2.70748331,-0.41583187,0.73776187,0.41024083,0.80734455,1.26425703,1.06372859,-0.33825066,-0.32998747,0.71661887,0.38170009,-0.78512283,0.39968779,0.40048900,-0.39572068,-0.15946471,-0.81397508,23.11,0
7927.399,0.14932640,-0.13208900,-1.46228842,-2.75864221,-1.41322625,-1.00259975,-1.31556290,0.90693790,1.54855427,0.00650206,0.19615865,2.07282141,-1.27190809,0.79453233,0.46063781,-1.95064912,-0.25137445,0.03922568,-0.00229749,-0.05956935,0.46491097,0.48075154,-0.50268951,-0.90755415,-0.31328396,1.16596058,0.41249628,0.05932346,58.99,0
62133.065,0.78569750,0.34108091,0.06638855,0.98691101,0.02847338,0.02711825,2.27074332,-0.06066490,-0.56037955,0.29256458,-2.46977908,0.11762578,-1.01772201,-0.17235674,-0.80424009,-1.93139651,-0.47161577,-0.30699031,1.33435096,0.25664850,0.57181431,-0.25158995,-1.05361038,0.48696294,1.50825914,-0.53599610,0.33817262,-0.17746801,21.04,0
6536.558,1.03294862,0.66835240,1.95539907,0.53640376,-0.74038361,0.80226184,0.64034682,-0.74208040,1.10037442,0.94735645,1.11509088,-1.11212223,0.42922669,1.21914446,-0.54813816,1.04816481,-0.64671255,-1.15488321,0.13525322,0.71018033,0.10347996,-1.09594027,0.13127990,-1.94139699,-0.20461271,0.58531358,-0.26638872,-0.81249106,8.34,0
172547.928,-0.02398497,-0.23853373,0.85284153,-0.28886081,-0.43786125,0.80321839,0.99575658,-2.49330382,0.85823301,-0.24667152,-0.70385062,-0.38824658,-0.25975918,-1.27931550,1.19567086,-0.71029656,0.40429776,0.74522640,-0.22655947,0.53937899,-1.33239994,-0.39672363,-0.84544806,0.01931103,0.33159920,-0.20854154,0.84565712,-0.50198516,54.60,0
161524.609,-1.51114501,0.02216164,-0.32364365,-0.34614129,-1.36332830,-1.04305705,-0.12430013,-1.75143259,-1.08061094,-0.11312585,-0.56829777,-0.89101896,1.28311775,-0.21484520,1.53596984,-1.34329471,1.36431329,0.45358113,0.06251222,0.18463516,-0.06296819,-0.50166978,0.01855351,1.25872229,0.82006280,1.03313922,0.51706818,-0.29181914,34.28,0
31114.138,1.30068181,0.72249075,-0.63147252,-0.44406977,0.57776238,-0.85594187,-1.28240955,0.36504506,-1.33425144,0.67797107,-0.05166537,1.64492257,-1.03830276,-1.58844770,-0.17562063,-0.25982348,1.00291719,-1.14785400,0.02099582,0.63958919,-0.52936756,-1.14309878,1.08994201,-1.16688018,-0.09133560,-0.70974873,0.20295391,-0.30458930,1.87,0
20083.511,-1.08356788,1.58363081,2.66422532,0.03055635,-0.88687682,0.22998506,-0.98993702,0.66669971,0.33891114,0.91400414,-0.29436707,0.17252854,0.66018126,0.94314761,0.23871115,-0.46880821,-1.18188807,-0.07172747,0.04144974,1.25275001,-0.56416784,-0.27080897,0.67204395,0.83184558,-0.51636118,0.03041730,-0.40276721,0.34484236,15.53,0
132542.836,0.35919609,-1.34993527,-1.69940388,0.23044466,-0.57268336,1.71592579,0.64465687,-0.23774573,0.12230323,1.92940153,0.45739634,0.70316170,0.40965398,-2.83280795,0.52467337,1.42151994,-0.88321906,-0.49983141,0.38830401,0.08879003,0.03238201,-2.42599616,0.60003934,0.98007062,0.21613407,0.18653699,0.50162249,-0.89441083,22.01,0
1581.453,-0.32171776,1.27357318,0.54660897,-0.04267284,1.85632352,0.17949378,1.34040704,0.19350090,0.28028093,1.68717505,0.29480886,-0.55493850,0.37303243,-1.42032512,-1.68256455,1.12740648,1.54039256,-0.25050113,-0.54068910,0.97400470,-2.13276830,0.84880702,0.34170862,-0.42090874,1.92602549,-0.36692580,-0.25906753,-0.00446187,28.89,0
162518.520,-0.71512225,-0.44557413,0.59869381,-1.19017253,-0.16097019,0.90491423,-0.17923682,0.65263986,-1.12928388,-1.04287958,0.22403524,-0.04739092,-0.69244792,-0.32241959,-0.60035856,-1.93536394,-0.43628737,0.51197031,-1.38367397,1.29523789,0.51533369,-0.37168932,-0.28475063,1.02271039,0.28947279,0.44170005,1.09891151,0.33597740,46.09,0
100947.374,-5.26335518,1.32796852,-0.14400191,-2.79964173,0.52852370,3.39409546,-0.39536525,-1.41463961,4.25100042,2.29070449,0.09361936,0.53187309,1.09294433,0.46370691,-3.76355560,-1.05970487,-1.43585685,-1.35861382,4.86095335,-0.81886632,-1.37646640,-0.10620076,-0.24694087,-3.08033469,-0.61594431,0.84345864,1.06297333,0.60126696,3168.80,1
56546.513,1.89897828,0.73356984,2.09586718,1.07172730,-0.22051413,1.52843501,0.51544796,-0.08835390,0.86968267,0.97667969,-0.02739282,0.66964139,-0.13993277,0.91231898,1.19355768,0.58611642,0.51202097,-0.32631921,-0.35756786,-0.63608513,-0.08765540,0.92761912,-1.05976436,1.40116699,0.29289790,-0.46473476,0.81131687,-0.17818328,23.71,0
1409.974,-0.11959729,1.74972441,1.97227807,-0.06608168,-0.12919854,-0.33206386,-1.31791169,-0.81901241,2.02186972,0.56863219,-1.02464162,-0.64102424,0.35629323,0.79940001,-0.19415485,1.43888627,-0.84761645,-2.09370522,0.61186137,-0.83361353,1.32054651,0.01691222,0.79416555,0.13234114,-1.06524552,0.34186855,-0.50293178,0.01187294,49.63,0
73828.874,-0.93724823,0.28307825,1.14852699,0.54510199,-2.16802191,0.58538218,-2.43169537,-0.78697409,-0.22957495,-0.00990818,1.83641896,0.25070483,0.41953751,2.06246038,-0.57499946,-1.54205753,-0.13474396,0.68431309,1.02911051,1.38641942,0.75609196,1.09541426,0.06805663,0.54100705,0.02490289,-0.11556604,-0.22136768,0.52238372,17.59,0
